,Dates,ABC US Equity,ANSS US Equity,AVB US Equity,AXP US Equity,BAC US Equity,BRKS US Equity,BXP US Equity,CACI US Equity,CARD LN Equity,CIT US Equity,CLF US Equity,COP US Equity,DNB US Equity,EBAY US Equity,EDMCQ US Equity,EIHIX US Equity,EMUSTRUU Index,GE US Equity,GPX US Equity,HAL US Equity,HRB US Equity,HRS US Equity,IR US Equity,JNJ US Equity,JPM US Equity,KO US Equity,LP06TREU Index,LUACTRUU Index,LUATTRUU Index,LUGCTRUU Index,MA US Equity,MANT US Equity,MCK US Equity,MORN US Equity,MSFT US Equity,NOG US Equity,PCAR US Equity,PDCO US Equity,REG US Equity,RTN US Equity,SYK US Equity,TCO US Equity,THO US Equity,UDR US Equity,VAR US Equity,WFC US Equity,WLL US Equity,SPY,mu,0.000565338,0.000758404,0.000213803,0.000461339,0.000779113,0.001173296,0.000181163,0.000926582,-0.000195692,0.000312854,0.000177703,0.000285115,0.000438847,0.000453241,0.007225417,-2.20102E-05,0.00011532,0.00013548,-0.000242946,0.00012948,0.00034925,0.000365687,0.000853818,0.000690957,0.000445374,0.000721759,0.00019019,0.000116429,0.000104546,3.92066E-05,6.47222E-05,0.001070524,0.0007049,0.000343065,0.00060931,0.001053321,-4.73833E-05,0.000326228,-0.000138884,0.000247614,0.000925982,0.000855781,-0.000102981,0.000826386,0.000368353,0.000511113,0.000419082,5.66705E-05,0.000495618
551,5/19/2016,-0.001330672,-0.00246421,-0.014021775,-0.012279597,-0.010891763,0.008412198,-0.027819253,-0.00227914,0.003498385,-0.01499847,0.010380623,0.000461467,0.001173217,-0.011397214,-0.083333333,-0.004597701,-0.003292626,-0.008443094,-0.018426966,-0.00347567,-0.012732615,0.000387197,-0.018251534,-0.006514658,-0.010149906,-0.003597122,0.000587325,0.002707699,0.002535516,0.002368414,-0.009724982,-0.014331676,0.005948079,-0.00414331,-0.009643771,-0.050739958,-0.034220532,-0.003320053,-0.000265287,-0.009883543,-0.003367923,-0.003488372,-0.006810263,-0.012034705,-0.00777882,-0.005549846,-0.002669039,-0.003464936,,74.82,86.25,180.44,63.92,14.52,10.03,124.39,93.17,374.4,32.49,2.92,43.58,120.24,23.65,0.05613,4.34,978.47,27.52,29.56,21.99,40.91,20.57,78.74,64.2,112.64,63.51,43.95,229.9532,2694.1,2190.27,2272,95.47,34.2,182.29,82.44,50.62,4.56,53.39,45.79,76.18,129.34,110.25,69.12,63.43,35.52,74.1729,48.75,45.04,205.49
552,5/18/2016,0.008318798,0.000352154,-0.013506916,0.012109624,0.048536759,0.038209607,-0.024081601,-0.002813853,0.018361195,0.036156042,-0.088328076,-0.010050251,-0.005002918,0.01804899,0.245071592,0,-0.004091329,-0.00336587,0.005877034,-0.021617683,-0.000978474,-0.000129049,-0.006551882,-0.002108407,0.038598767,-0.00603352,-0.000114672,-0.007724501,-0.006619626,-0.006833294,0.000313808,0.006772674,0.036770215,0.00600711,0.005939418,-0.022727273,-0.020744681,0.006460236,-0.015282132,0.005237215,-0.002542219,-0.015455066,0.004454343,-0.010523401,-0.000239146,0.021629567,-0.040955631,0.000288991,,75.05,85.01,179.31,62.74,14.53,9.59,123.71,91.93,372.9,32.18,2.92,43.36,119.47,23.42,0.055,4.33,977.75,27.52,29.36,21.84,40.14,20.16,77.51,64.01,112.85,63.39,44.32,230.3315,2695.91,2190.5,2272.71,94.7,33.7,180.96,81.72,50.32,4.49,53.34,45.03,75.37,129.23,109.49,68.56,62.71,35.3,73.4202,48.38,44.84,204.2
553,5/17/2016,-0.000804397,-0.015030639,-0.017638282,-0.020446387,0.005743001,-0.007583965,-0.003210764,-0.029513707,0.018136161,-0.00221519,0.060200669,-0.006805808,-0.004399801,-0.022268908,-0.22896,0,0.000213241,-0.008344459,-0.048602151,0.024639124,0.023023023,0.005449591,-0.010553294,-0.005330304,0,-0.019070583,0.001972411,7.38182E-05,-0.000322694,-0.000188318,-0.005720229,-0.033304868,0.005680172,-0.007664234,-0.025467876,0.025423729,-0.010699877,-0.015570175,-0.021847451,-0.011345466,-0.019670672,-0.009496811,-0.036037418,-0.012308534,-0.004406714,-0.013465921,0.028972783,-0.009329722,,75.15,85.22,181.86,63.52,14.69,9.51,127.25,92.14,371.6,32.67,2.89,43.34,119.33,23.69,0.06,4.35,980.98,27.52,29.61,22.25,40.28,20.42,77.48,65.2,113.59,64.04,44.48,230.1963,2688.63,2184.96,2267.34,95.63,34.19,179.89,82.06,50.81,4.73,55.23,45.18,75.39,130.52,109.86,68.8,63.14,35.73,73.9958,48.65,44.96,204.91
554,5/16/2016,0.012625577,0.007689619,0.008436778,-0.000779788,0.003602305,0,0.005766569,0.01168845,-0.004167824,0.01087652,0.027491409,0.024639702,0.010231466,0.000841043,0.25,0.002304147,-0.000152292,0.010796221,0.016171329,0.028673835,0.008581524,0.015147524,0.011282208,0.007749207,0.00751634,0.005953693,-0.000527642,-0.003314486,-0.002665325,-0.002738422,0.008284396,0.021815009,0.039775809,0.004276115,0.01468285,-0.006315789,0.01767226,0.022192334,0.007465568,0.007827488,0.0129835,0.004842615,0.018110851,0.007717751,0.022409048,0.000621891,0.072504708,0.009865208,,74.53,85.19,184.35,62.76,14.01,9.16,130.39,92.4,364.9,31.53,3.17,43.78,119.93,23.27,0.04819,4.35,985.01,27.52,29.71,22.12,41.17,20.44,77.49,65.63,113.83,61.66,44.75,230.2227,2709.56,2199.52,2282.94,95.6,33.96,173.51,81.57,50.51,4.84,56.4,44.89,76.56,129.84,110.14,69.88,62.86,36.11,74.0135,47.62,46.88,204.8508
555,5/13/2016,-0.014977267,-0.007745665,-0.008313349,-0.003419335,-0.018387553,-0.003239741,-0.010047191,-0.008533502,0.009254066,-0.02525725,-0.036423841,-0.016235994,0.007605205,0.008481764,-0.180327869,0,0.00123,-0.014955135,-0.036225779,-0.024719101,0.014856557,-0.002496387,-0.005006068,-0.005865359,-0.00922778,-0.010473489,0.001317576,0.003670023,0.002599539,0.002855741,-0.005112154,-0.002900232,-0.008188882,-0.0064336,-0.008347894,0.041666667,-0.015984542,0.004956071,-0.012708095,-0.012129482,-0.008138079,-0.018179276,-0.012488437,-0.014398261,-0.001824432,-0.019512195,-0.028362306,-0.008714175,,74.59,86.49,187.66,64.07,13.93,9.23,130.81,95.21,358.4,31.6,2.99,44.08,120.46,23.8,0.0625,4.35,984.8,27.52,29.96,23.25,40.18,19.98,77.07,66.33,114.44,61.66,45.62,229.7695,2709.36,2200.23,2283.37,96.15,35.13,172.53,82.2,51.83,4.72,57.01,45.6,78.27,131.33,112.35,70.55,65.21,36.56,74.3411,48.27,45.56,206.78
556,5/12/2016,-0.012935586,0.004062681,0.003046825,-0.003870568,-0.004225352,0,0.003666921,0.006574761,-0.001959138,-0.029652042,-0.067901235,0.001144689,-0.003032856,-0.00673968,0,0,0.001231515,-0.008239947,-0.018602728,0.012898331,0.003083248,0.000788955,-0.000303306,-0.001224097,-0.000647144,0.008139023,-0.000638562,-0.002743126,-0.002063548,-0.002193922,-0.005808526,0.004369356,-0.009414412,0.001702335,0.009010774,-0.01511879,-0.000175623,0.015324794,0.009234321,0.009335068,0.003049874,0.001961609,0.005737324,0.004091653,0.003537785,0.002444988,-0.006363636,0.000290557,,73.66,85.83,186.09,64.12,13.88,9.23,130.06,94.11,359.9,31.26,2.91,43.02,119.24,23.78,0.05,4.34,984.95,27.52,29.64,22.88,39.06,19.81,75.92,65.59,113.56,61.2,45.35,229.8908,2718.37,2206.11,2289.64,95.36,34.38,165.93,81.85,51.08,4.75,56.02,44.61,77.69,130.31,110.91,70.21,64.05,36.28,72.7117,48.24,42.48,204.76
557,5/11/2016,-0.011997913,-0.00393109,-0.02052356,-0.003855645,-0.006993007,-0.02217529,-0.016750545,-0.01555486,-0.0075,-0.008995502,0.009345794,0.018894332,-0.007193041,-0.017384106,0.016666667,0,0.001866014,-0.004593176,-0.025382756,0.018022657,-0.027486257,-0.007180157,-0.006029545,-0.002616203,-0.003707286,-0.006338798,-0.000625112,0.001877681,0.001185108,0.001439919,-0.012597296,-0.012654587,-0.008337737,-0.014381592,0.000588005,0.013129103,-0.011629925,-0.007491487,-0.014783927,-0.009624129,-0.002416107,-0.030035336,-0.014667685,-0.018999197,-0.003525313,-0.006477733,0.020408163,-0.009354761,,74.78,86.5,187.65,64.34,14.14,9.26,131.38,94.92,356.6,32.07,3.02,43.73,118.34,23.58,0.061,4.34,983.74,27.52,30.09,23.74,40.05,19.52,76.11,65.92,114.23,61.77,45.83,229.5883,2708.43,2200.39,2283.12,95.85,34.48,167.3,82.38,51.51,4.56,56.93,44.39,78.69,131.91,111.82,71.51,64.86,36.81,72.8446,49.2,43.72,206.56
558,5/10/2016,-0.008918185,0.009218203,0.010688962,0.013441701,0.022158685,0.01391863,0.006501852,0.009484666,-0.006073992,0.036036036,0.062913907,0.029291717,0.069792412,0.005828476,-0.298245614,0.002309469,0.001603464,0.020421828,0.010586319,0.003876971,0.008060453,0.012290207,0.016704981,0.008353852,0.013559876,0.01127321,0.001578973,0.000535186,4.99496E-05,0.00030646,0.009511993,0.015775635,-0.011090466,0.011148812,0.018973437,-0.012958963,0.031697708,0.011713367,-0.002646503,0.013128599,0.003862738,0.000407886,0.00229709,0.004030091,0.001827766,0.010638298,0.075848303,0.012437758,,75.76,86.15,187.08,64.59,14.2,9.26,130.9,94.3,357.3,33.05,3.24,43.68,118.7,23.74,0.061,4.34,982.53,27.52,30.34,24.19,39.54,19.46,76.05,65.94,114.37,61.81,45.46,229.735,2715.88,2204.94,2288.14,96.41,34.33,168.89,82.24,51.05,4.63,56.94,43.72,77.97,130.69,111.48,71.37,64.49,36.66,72.5878,49.08,44,206.5
559,5/9/2016,0.011108207,0.012882638,0.006765756,-0.00821578,-0.008504607,0.001071811,0.010466005,-0.004824331,0.005552471,-0.006788028,-0.13960114,-0.02595884,0.005940594,0.008396306,0.425,0,5.10683E-05,-0.008300133,0.016977226,-0.019016227,0.007614213,0.014479153,-0.004272852,0.008692567,-0.006331169,-0.001765225,0.000568911,0.000498525,0.001250301,0.000924611,0.000413736,-0.008688097,0.01989814,0.004381694,-0.006350466,-0.035416667,0.005401512,0.013029316,0.011214477,0.009220518,0.00098912,0.002316708,0.014290152,0.008398808,0.007855014,-0.002855977,-0.032818533,0.000822477,,76.68,86.49,191,64.84,14.3,9.47,133.13,95.79,360,33.35,3.21,42.87,119.56,24.16,0.06,4.34,980.7,27.52,30.48,24.82,38.84,20.01,76.6,66.34,114.67,62.04,45.75,229.8787,2710.79,2202.33,2284.85,97.64,34.77,170.31,83.44,51.02,4.57,57.61,44.05,79.14,131.96,111.75,73.58,65.45,37.37,72.8446,49.4,43.12,208.45
560,5/6/2016,-0.018974359,0.010148042,0.00632606,0.009230288,0.004270463,-0.010604454,0.00030567,0.020004279,-0.01852861,0.002784653,-0.051351351,-0.010414256,0.012669766,0.000419992,0,-0.002304147,0.000347385,0.007694881,0.026349341,-0.012518778,-0.016475287,-0.002540786,0.010485736,-0.001240255,0.005878511,0.005770084,0.000164379,-0.002607668,-0.001280485,-0.001662409,0.005094085,0.020390071,-0.02223509,-0.000365008,0.009010813,-0.024390244,-0.001258766,-0.00116198,0.00990991,0.006629748,0.009898293,0.007690195,0.01754386,0.010955902,0.002338257,0.00122549,-0.006711409,0.003659072,,77.37,85.7,188.98,63.98,13.99,9.34,132.27,94.89,362.2,32.19,3.02,41.65,111.76,24.02,0.0855,4.33,979.13,27.52,29.87,24.56,38.69,19.85,75.67,65.25,113.72,61.21,45.24,229.5163,2709.34,2202.22,2284.15,96.72,34.23,172.22,82.52,50.07,4.63,55.84,43.54,79.35,130.25,111.32,73.55,65.3,37.22,72.7117,48.88,40.08,205.8892
561,5/5/2016,-0.074623324,-0.06891952,0.007453416,-0.005291005,-0.005661713,-0.014629049,0.002144279,0.003650419,-0.000272405,-0.007980356,-0.127358491,-0.004607233,-0.0074188,0.000420168,-0.032258065,0,0.000961342,-0.005986033,-0.006334459,0.002007025,-0.008906482,0.005107527,0,0.005881305,-0.005359753,0.001778568,0.002833843,0.002159293,0.002202553,0.002095517,-0.000623377,0.003558719,0.046603236,0.005505261,0.001403649,-0.008064516,-0.005009841,0.003732214,0.005695056,0.011758207,0.014089695,-0.001645188,0.01345507,0.009400055,0.00098462,0.000408664,0.030632411,-0.000195112,,76.52,84.61,187.71,64.51,14.11,9.33,130.9,95.35,360.2,32.41,3.51,42.76,111.1,23.82,0.06,4.33,979.08,27.52,30.12,24.15,39.44,19.7,74.59,65.53,112.74,61.6,45.32,229.3858,2707.99,2199.47,2282.04,96.68,34.53,168.86,82.16,50.39,4.8,55.54,42.98,78.47,129.06,111.21,73.38,64.38,36.91,72.145,49.02,41.44,205.72
562,5/4/2016,-0.013921385,-0.014676889,0.020785092,-0.009097918,-0.016016713,-0.033333333,0.00492535,-0.02235751,0.002731494,-0.021915341,-0.088172043,-0.037045253,-0.003965036,-0.007506255,0,-0.002298851,-0.001378747,-0.018282729,-0.014975042,-0.014342235,-0.003942829,-0.026560251,-0.017424242,-0.004170734,-0.015824808,0.003122212,-0.001158691,-0.000129172,0.001066006,0.000561458,-0.002073613,-0.017482517,-0.018673803,-0.012205438,0.001807955,0.016393443,-0.034047701,-0.011072664,0.028077179,0.004757374,-0.005312815,0.01616049,-0.008418043,0.018873239,-0.008789209,-0.0212,-0.016520894,-0.005574333,,78,83.76,186.53,63.92,14.05,9.43,130.86,93.48,367,32.32,3.7,43.21,109.71,23.81,0.06,4.34,978.74,27.52,29.89,23.53,39.94,20.03,74.78,64.85,112.88,61.24,45.06,229.3481,2715.07,2202.29,2285.84,96.19,33.84,172.7,82.19,49.94,4.92,55.61,43.03,77.7,128.21,110.12,72.82,63.27,36.51,71.9767,48.96,41.72,204.97
563,5/3/2016,0.002933239,-0.010190807,0.003041531,-0.012637028,-0.027758971,0.044303797,-0.008923804,-0.022871795,0.004940983,-0.035331596,-0.119318182,-0.037780149,-0.003859964,-0.011541632,-0.114285714,-0.004576659,-0.00123424,-0.008416963,-0.003729797,-0.038287753,0.003461919,-0.05478605,-0.002116722,-0.000532151,-0.019282019,-0.003112494,0.002322764,0.00342552,0.003699097,0.003411047,-0.013501074,-0.013793103,-0.001662412,-0.014528998,-0.016399921,-0.112727273,-0.013806034,-0.005961935,0.000799041,-0.008022652,-0.00700382,0.011983646,-0.022512032,0.005665722,-0.001706402,-0.011662384,-0.046339203,-0.008707025,,84.29,89.96,185.15,64.26,14.13,9.57,130.58,93.14,367.1,32.58,4.24,43.41,110.53,23.8,0.062,4.34,977.8,27.52,30.07,23.68,39.86,20.21,74.4,64.85,112.22,61.57,44.98,228.7,2709.22,2197.45,2281.06,96.25,33.72,165.01,81.74,49.87,4.96,55.89,42.87,77.26,126.72,108.59,72.94,62.43,36.17,71.9059,48.94,40.48,205.01
