,Dates,EWJ,VB,EEM,VTV,VTI,EFA,VEA,VWO,IWM,IJH,IJR,IWF,VUG,SPY,mu,0.000470706,0.000723156,0.000602255,0.00048788,0.00060917,0.000365491,0.000418555,0.000539102,0.000827748,0.000660334,0.000840463,0.000736915,0.000707436,0.000567947
30,9-May-18,-0.008525988,0.006945823,0.001938819,0.008522177,0.009435332,0.002396054,0.003113879,0.001324211,0.005385541,0.005072691,0.005616575,0.009397418,0.010364473,0.009665817,,60.82,153,47.48,105.12,140.29,71.58,45.42,46.27,159.53,193.64,81,141.97,148.55,272.02
31,8-May-18,0.003125,0.003851517,0.005632582,-0.000290444,0.000363029,0.000140964,0,0.005102041,0.004966571,0.003147624,0.008559919,-7.17E-05,0.000549413,0,,60.47,152.22,46.51,104.14,139.08,71.12,45.1,45.37,158.68,192.19,80.57,140.71,147.2,269.5
32,7-May-18,0.001152643,0.007762832,-0.005815206,0.001940052,0.00437541,0.000140984,-0.00022237,-0.002654867,0.008476209,0.005538851,0.007738171,0.005699033,0.005732836,0.003383204,,60.99,151.17,46.42,103.26,137.78,70.95,44.96,45.31,157.83,191.22,80.12,139.4,145.69,266.92
33,4-May-18,0.007298059,0.013290839,0.004543488,0.010785371,0.012926577,0.003537068,0.003794643,0.004891063,0.012482933,0.013472334,0.012328239,0.014564883,0.014931651,0.012946463,,60.8,150.59,46.16,103.29,137.73,70.94,44.96,45.08,157.05,190.62,79.44,139.41,145.61,266.92
34,3-May-18,0.000996181,-0.002974782,-0.002158895,-0.003809338,-0.002725599,0.003122339,0.002012972,-0.003102837,-0.00543162,-0.001547988,-0.006126356,0.000292847,-0.000210261,-0.002203647,,60.73,149.43,46.43,103.09,137.13,70.93,44.97,45.2,155.73,189.57,78.83,138.62,144.78,266.02
35,2-May-18,-0.005941575,6.76E-05,-0.007924609,-0.010056082,-0.00578585,-0.000425592,-0.001340183,-0.00660502,0.003764523,-0.001811594,0.002430911,-0.004881247,-0.003700859,-0.006717488,,60.29,147.47,46.22,101.99,135.38,70.68,44.8,44.98,153.81,187.05,77.87,136.63,142.65,262.62
36,1-May-18,-0.000824538,0.002915847,-0.004901961,-0.0018338,0.00154038,-0.003534068,-0.000892658,-0.005691769,0.00489173,0.003851091,0.004369057,0.00593624,0.006607155,0.00177687,,60.23,147.91,46.32,102.38,135.75,70.46,44.71,45.12,154.65,187.34,78.35,136.59,142.68,263.2
37,30-Apr-18,-0.002303389,-0.008738321,-0.007194245,-0.010883055,-0.00728173,-0.003240806,-0.005327414,-0.006740596,-0.008856423,-0.010636609,-0.008914926,-0.006480268,-0.004199622,-0.007690576,,60.59,147.9,46.69,103.42,136.54,70.49,44.77,45.42,154.07,187.68,78.16,137.26,143.21,264.98
38,27-Apr-18,-0.002789171,-0.001342552,0.006174154,0.001434034,0.000655785,0.000987306,0.001111111,0.005245902,-0.001420179,-0.001637785,-0.00330033,0.000728651,0,0.000938756,,60.64,147.47,46.92,103.61,136.33,70.74,44.81,45.68,153.32,186.96,77.82,136.45,142.27,264.51
39,26-Apr-18,0.006107626,0.004450138,0.014470842,0.004899606,0.009488783,0.004961021,0.007387508,0.010379859,0.00460441,0.00376518,0.003183497,0.016216216,0.017302763,0.010165763,,60.78,148.77,47.26,104.75,137.33,70.97,45.05,45.99,154.69,188.97,78.52,137.34,142.87,266.56
40,25-Apr-18,0.003146216,-0.000134834,-0.007715388,0.001057896,0.001104566,-0.001698033,-0.002233639,-0.007452872,-0.001489348,0.000742981,-0.001652682,0.001186152,0.002069212,0.002471671,,60.95,148.97,46.97,104.6,137.24,70.9,45,45.75,154.91,189.28,78.78,137.24,142.87,266.31
41,24-Apr-18,-0.003629764,-0.007228432,-0.004692833,-0.008392142,-0.012004365,-0.004086809,-0.004447409,-0.004582151,-0.005730106,-0.007270428,-0.004681766,-0.019195812,-0.018900945,-0.013467382,,60.58,148.31,46.3,104.09,135.95,70.55,44.67,45.28,154.2,188.57,78.53,135.05,140.44,263.63
42,23-Apr-18,-0.001318174,-0.00046829,-0.008040626,0.001241287,-0.000363636,-0.001266714,-0.001110618,-0.006718682,-0.001478624,-0.000210693,-0.000379459,-0.000799186,-0.001886529,-0.000150032,,60.39,148.33,46.66,103.98,135.8,70.67,44.77,45.62,154.43,188.43,78.66,134.89,140.15,262.98
43,20-Apr-18,-0.00197336,-0.005323396,-0.012536565,-0.005696383,-0.007936508,-0.003785754,-0.004862953,-0.011779824,-0.005371187,-0.006229062,-0.00590972,-0.011135857,-0.011192483,-0.008479304,,60.61,149.41,46.88,104.86,137.45,70.96,44.97,45.83,155.32,189.81,79.03,137.53,142.85,266.57
44,19-Apr-18,-0.003768021,-0.006413223,-0.005816369,-0.001705999,-0.005453502,-0.003771476,-0.004620462,-0.005537806,-0.006921514,-0.004896343,-0.007859281,-0.008194385,-0.009376497,-0.005547542,,60.69,149.48,47.26,104.73,137.5,71.05,45.02,46.14,155.55,189.85,79.06,137.64,143.12,266.61
45,18-Apr-18,0.006762329,0.003782851,0.008589985,-0.000284252,0.001365237,0.00519517,0.005976096,0.007078507,0.002674137,0.002873113,0.0036309,0.001498608,0.002057472,0.00074022,,60.81,150.28,47.86,105.33,138.6,71.32,45.24,46.69,156.39,191.04,79.53,139.19,144.74,268.89
46,17-Apr-18,0.003807947,0.009175541,0.002099517,0.006292906,0.010528609,0.004513399,0.005116796,0.000858738,0.010877261,0.007579346,0.009479272,0.015876468,0.015955964,0.010698388,,61.04,151.25,48.14,105.51,139.36,71.59,45.45,46.95,157.48,191.98,80.16,140.34,146.11,270.39
47,16-Apr-18,0.002822514,0.009396971,0.001261299,0.008849558,0.008346756,0.001553892,0.001782928,0.000859476,0.009223774,0.010316405,0.011118211,0.008333333,0.007228577,0.008221761,,60.63,150.68,47.73,105.54,139.17,71.22,45.18,46.62,157.06,191.43,79.87,140.13,145.81,270.19
