,Dates,MSFT,F,BGS,ADRD,V,MGI,NFLX,JACK,GE,SBUX,C,HD,SPY,mu,0.001143164,-0.000344378,0.000245835,4.75E-06,0.000906712,0.0001196,0.002553423,1.90E-05,-0.00060576,0.000118217,0.000427717,0.000700072,0.000333031
114,1/22/2018,0.017888889,0.001666667,0.016897081,0.006033789,0.013284434,0.030952381,0.032296108,-0.010527424,-0.005535055,0.00244858,0.003703704,0.015546615,-0.00342,,,,,,,,,,,,,,
115,1/19/2018,-0.001109878,-0.005799503,0.023584906,0.004444444,-0.003330355,-0.002375297,0.000590024,0.019096663,-0.030411449,0.00278278,0.011758625,0.015126305,0.006519,,,,,,,,,,,,,,
116,1/18/2018,-0.000443754,-0.009031199,-0.027522936,-0.001371853,0.009263814,0.012019231,0.013011494,0.003661032,-0.033429395,0.007088691,-0.001032658,-0.007456711,0.007296,,,,,,,,,,,,,,
117,1/17/2018,0.020260328,-0.070229008,-0.00304878,0.00829943,0.013207077,0.021276596,-0.018191667,0.017641902,-0.047226798,0.001651255,0.004668655,0.017879884,-0.00153,,,,,,,,,,,,,,
118,1/16/2018,-0.013950893,-0.009826153,0.020217729,-0.002030045,0.002498126,-0.033992095,0.001356055,-0.017230239,-0.029317697,0.002649007,0.003513795,-0.000560024,0.002263,,,,,,,,,,,,,,
119,1/15/2018,0,0,0,0,0,0,0,0,0,0,0,0,0.001829,,,,,,,,,,,,,,
120,1/12/2018,0.017257039,0.005319149,-0.043154762,0.007868989,0.002086115,0.038587849,0.018366783,-0.018808115,-0.013669821,0.006666667,0.01694018,0.008937744,0.006664,,,,,,,,,,,,,,
121,1/11/2018,0.002960601,0.009976976,-0.01754386,0.004839638,0.007228106,0.004950495,0.022209674,-0.015909327,0.004807438,0.003009027,-0.001189689,0.015015641,0.004215,,,,,,,,,,,,,,
122,1/10/2018,-0.004534119,-0.00382263,-0.028409091,0.002886598,-0.001091428,0.005809129,0.015336104,-0.021369696,0.019881466,0.010814464,0.004514673,-0.006732263,0.006325,,,,,,,,,,,,,,
123,1/9/2018,-0.000679656,-0.005323194,0.052316891,0.000412541,-0.001927267,0.00249584,-0.012921481,0.017393105,0.015317287,-0.002191873,0.010465584,0.005519683,0.007157,,,,,,,,,,,,,,
124,1/8/2018,0.001020524,-0.003787879,-0.033236994,0.00248139,0.004038364,-0.021172638,0.009809991,-0.018394309,-0.014023732,-0.005032713,-0.01166954,-0.00238961,-0.00377,,,,,,,,,,,,,,
125,1/5/2018,0.012398117,0.016949153,-0.001443001,0.004570004,0.023949001,0.048676345,0.021203132,-0.004149378,0.000539665,0.011539114,-0.001324328,0.010445646,0.002057,,,,,,,,,,,,,,
126,1/4/2018,0.00880139,0.017241379,-0.01,0.010300278,0.003718115,-0.033030553,0.002828578,0.006006923,0.020936639,0.003747232,0.012334093,0.007936088,0.000487,,,,,,,,,,,,,,
127,1/3/2018,0.004653869,0.007898894,-0.007092199,0.002718855,0.009955462,-0.090157776,0.019794102,0.019196845,0.00945495,0.018740239,0.003093061,0.005211934,-0.0012,,,,,,,,,,,,,,
128,1/2/2018,0.004793079,0.013610889,0.00284495,0.009774756,0.004297492,0.009863429,0.047457804,-0.017735195,0.030372493,0.0034825,-0.000671953,-0.007914314,-0.00026,,,,,,,,,,,,,,
129,1/1/2018,0,0,0,0,0,0,0,0,0,0,0,0,0.00206,,,,,,,,,,,,,,
130,12/29/2017,-0.00209986,-0.007154213,-0.009859155,-0.003388395,-0.002885877,-0.009022556,-0.003891858,-0.016046535,0.005184332,-0.006573257,-0.008923815,-0.001317315,-0.00052,,,,,,,,,,,,,,
131,12/28/2017,0.000116673,0.0064,-0.005602241,0.006393862,0.002894229,0.005291005,0.03474012,0.006663301,-0.001150748,0.00942902,0.002537054,-0.002155739,-0.00384,,,,,,,,,,,,,,
132,12/27/2017,0.003629977,-0.007936508,-0.025920873,-0.000796467,0.009115851,0.00608365,-0.008095441,-0.009103641,-0.002868617,0.002275114,0.001470982,-0.000893045,0.006341,,,,,,,,,,,,,,
133,12/26/2017,-0.001286399,0.001589825,-0.004076087,0.001651024,0.002662171,-0.003787879,-0.011477309,0.001101652,-0.004,-0.002792321,-0.009405219,0.011853506,0.0032,,,,,,,,,,,,,,
134,12/25/2017,0,0,0,0,0,0,0,0,0,0,0,0,-0.00409,,,,,,,,,,,,,,
135,12/22/2017,0.000116959,-0.003958828,0.019390582,-0.003841839,0.002490882,0.011494253,0.006998197,-0.004585784,0.00171723,-0.0048628,-0.004352414,0.000265844,-0.00011,,,,,,,,,,,,,,
136,12/21/2017,-0.000233863,-0.007075472,0.004172462,0.006915203,0.002586514,-0.000765697,-0.00105921,0.001297664,0.001146132,-0.002598302,0.015537102,0.004110832,0.001765,,,,,,,,,,,,,,
137,12/20/2017,-0.003611791,0.002364066,0.009831461,-0.002186166,-0.000178348,-0.00608828,0.009624639,-0.031609473,-0.007959068,-0.004826754,-0.000535475,0.007151307,0.003013,,,,,,,,,,,,,,
138,12/19/2017,-0.006367215,0.002369668,0.008498584,-0.000426803,-0.012417437,-0.002277904,-0.017855267,0.030994618,-0.009572072,-0.000344649,-0.012818819,0.006766632,0.005453,,,,,,,,,,,,,,
139,12/18/2017,-0.005411629,0.0063593,0.03671072,0.004286327,-0.002372167,-0.012003001,0.001577951,0.011389981,-0.003367003,-0.004460456,0.012036913,0.01177566,0.003153,,,,,,,,,,,,,,
140,12/15/2017,0.025504782,0.009630819,0.02560241,-0.000856531,0.007970244,0.024596464,0.00295421,-0.004315536,0.010204082,-0.02361809,0.011498918,0.002470763,0.00019,,,,,,,,,,,,,,
141,12/14/2017,-0.007732865,-0.013460016,0.01065449,-0.00511291,-0.003441885,-0.001534919,0.009049292,-0.027807591,-0.006756757,0.003530005,-0.016236359,-0.004917227,-0.0036,,,,,,,,,,,,,,
142,12/13/2017,-0.002687544,0.002380952,0.004587156,0.003420265,-0.001322052,-0.000766871,0.01146826,-0.000877364,-0.008375209,0.003711827,-0.013263296,0.006765677,-0.00121,,,,,,,,,,,,,,
143,12/12/2017,0.004106535,0.001589825,-0.009090909,0.005727357,0.009700098,-0.000766284,-0.002631296,-0.00436766,0.014730878,0.003385813,0.003955175,-0.002469136,-0.00208,,,,,,,,,,,,,,
144,12/11/2017,0.012713878,-0.002379064,-0.014925373,0.003313201,-0.002042629,-0.003816794,-0.012305081,-0.014726977,-0.003387916,0.00784849,0.001849161,-0.006324628,0.008755,,,,,,,,,,,,,,
145,12/8/2017,0.020244878,0.006384677,-0.02189781,0.00778227,0.010771993,-0.006069803,0.018034557,0.018505893,0,-0.008961786,0.00973593,0.007747253,-0.00061,,,,,,,,,,,,,,
146,12/7/2017,-0.003503262,0.012116317,-0.018624642,0.000569865,0.015126663,-0.018615041,-0.000539665,-0.015533608,0.002831257,-0.002361673,-0.006097561,0.006637168,0.010145,,,,,,,,,,,,,,
147,12/6/2017,0.014585121,-0.004022526,-0.034578147,0.001215157,0.010683367,-0.028922632,0.00591716,-0.017614921,-0.005630631,-0.001011122,-0.01437157,-0.011211375,-0.0005,,,,,,,,,,,,,,
148,12/5/2017,0.006290084,-0.015835313,-0.073076923,-0.005630143,0.010704645,-0.012142857,0.000923712,-0.004220992,-0.010584958,0.00987066,-0.007263294,-0.011087074,0.00231,,,,,,,,,,,,,,
149,12/4/2017,-0.037740328,0.003974563,0.002570694,-0.00602669,-0.029802222,-0.011997177,-0.014880634,0.013403042,0.003914989,0.025122121,0.021056814,0.02483095,-0.00088,,,,,,,,,,,,,,
150,12/1/2017,0.001069265,0.004792332,0.005167959,-0.000739874,-0.016520117,-0.00491573,-0.004051605,0.016326925,-0.022416621,-0.008647527,0.00013245,0.00333667,0.006543,,,,,,,,,,,,,,
151,11/30/2017,0.009959203,-0.003184713,-0.005141388,-0.00012043,0.024849809,0.012082445,-0.003029498,0.012718912,-0.010281385,0.005390367,0.006130064,0.014499295,0.001706,,,,,,,,,,,,,,
152,11/29/2017,-0.018143261,0.028665029,0.040106952,-0.011059124,-0.030875088,-0.016771488,-0.055377046,-0.002245217,0.003802281,0.015001765,0.018181818,0.003851164,-0.00294,,,,,,,,,,,,,,
153,11/28/2017,0.012042447,0.008257638,0.027472527,0.01013139,0.008720413,0.004210526,0.021174058,0.017279047,0.016004415,0.013414416,0.032357473,0.01383785,0.008501,,,,,,,,,,,,,,
154,11/27/2017,0.007326447,0.000826446,0.004137931,-0.003459645,0.003661695,-0.022633745,-0.00357599,-0.001982161,-0.003848268,-0.015669014,-0.00874757,0.010619161,-0.00501,,,,,,,,,,,,,,
155,11/24/2017,0.001804837,0.002485501,0,0.011038961,0.010377188,-0.000685401,-0.002903423,-0.004243561,0.002203857,-0.005950298,-0.00332134,0.00156922,-0.00232,,,,,,,,,,,,,,
156,11/23/2017,0,0,0,0,0,0,0,0,0,0,0,0,0.00093,,,,,,,,,,,,,,
157,11/22/2017,-0.007286192,-0.004125413,0.008344924,0.00130039,-0.005652759,-0.012186865,0.000458645,-0.012089305,0.01794728,-0.002095704,-0.001657917,-0.004628023,-0.00031,,,,,,,,,,,,,,
158,11/21/2017,0.014418999,-0.000824402,-0.011004127,0.006412773,0.013642565,0.003396739,0.010973725,-0.003981356,-0.008342603,0.007921141,0.004580153,0.014139044,-0.00363,,,,,,,,,,,,,,
159,11/20/2017,0.00157767,0.009991674,0,0.001879371,0.001183755,0.008910212,0.004658385,-0.019518233,-0.012630423,-0.002107852,0.01009393,0.016155956,0.001701,,,,,,,,,,,,,,
160,11/17/2017,-0.009615385,-0.002491694,0.011126565,0.000651648,-0.010808863,0.004129387,-0.011815252,0.005649177,-0.002191781,-0.005415793,-0.004743965,0.001432836,-0.0007,,,,,,,,,,,,,,
161,11/16/2017,0.002651241,0.003333333,0.052708638,0.00986675,0.006984127,0.015373864,0.017645222,0.004327339,-0.000547645,0.00952381,-0.00083647,0.012268085,0.001548,,,,,,,,,,,,,,
162,11/15/2017,-0.012730518,-0.001663894,-0.007267442,-0.008899103,-0.015449187,-0.00209205,-0.018343467,-0.000960707,0.020111732,-0.004040049,0.00279603,-0.015411163,0.003339,,,,,,,,,,,,,,
163,11/14/2017,0.001429763,-0.011513158,0.02533532,-0.001965924,0.005206463,-0.011716058,0.003229444,0.044032096,-0.058885384,0.005120056,-0.006389776,0.016389477,0.000388,,,,,,,,,,,,,,
